a,b,c,d,e,f,g,h,,,,,,,,,,,,,
,,,,,,,,26,,,,,,,,,,,,
,,,,,,,,25,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,
,,,,,,,,23,,,,,,,,,,,,
,,,,,,,,22,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,
,,,2K,,,,,20,,,,,,,,,,,,
,,,,,,,,19,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,
,,NP,NP,NP,NP,,,17,,,,,,,,,,,,
,NP,,,,,NP,,16,,,,,,,,,,,,
,,NP,,,NP,,,15,,,,,,,,,,,,
,,,NB,NB,,,,14,,,,,,,,,,,,
,,,NB,NB,,,,13,,,,,,,,,,,,
,,NP,,,NP,,,12,,,,,,,,,,,,
,NP,,,,,NP,,11,,,,,,,,,,,,`
,,NP,NP,NP,NP,,,10,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,
,,,,,,,,8,,,,,,,,,,,,
,,,,1K,,,,7,,,,,,,,,,,,
,,,,,,,,6,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,,,,
,,,,,,,,4,,,,,,,,,,,,
,,,,,,,,3,,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,
a,b,c,d,e,f,g,h,,,,,,,,,,,,,
